SPY
NUGT
TNA
QQQ
XLE
GDX
DIA
TZA
VNQ
FAS
DUST
VTI
XLV
VWO
XLK
XLU
TMV
VOO
JETS
JNUG
ERX
SPXS
XLF
YINN
XOP
LABU
VDE
RHS
JNK
XLP
UUP
VYM
OIH
BND
XLY
VB
XME
SPXL
VGK
VIG
SDY
FAZ
XBI
RSX
GDXJ
FXE
DBO
AMLP
VHT
VBR
LABD
XRT
XLB
XHB
VGT
RUSS
TAN
DXJ
VT
PGX
GASL
FXY
DBC
CHAU
YANG
VEU
HACK
BNDX
VCIT
SIL
CORN
XLI
VEA
ERY
VGIT
MDY
KBE
HEDJ
BKLN
VDC
JDST
VTV
SMH
SLX
RUSL
PIZ
FXA
VXUS
VPU
VNM
VGLT
SPYG
SPLV
RSP
PPLT
GREK
FDN
DBA
BOND
ADRE
XPH
RWR
PKW
PGF
MOO
CURE
BIV
VTWO
VFH
SCHH
PALL
FEZ
EDC
VOT
UDN
FRN
BSV
VPL
VBK
SCHB
RTH
PRFZ
MORT
KWEB
INCO
GUSH
FXU
FXB
BWX
ZROZ
YMLP
XES
VTIP
SDIV
SCHD
REMX
PPA
EDV
DRV
CORP
CGW
BRZU
BRF
ALFA
VOX
VCSH
VCR
SGOL
SGDM
PSAU
PHO
PEY
PEK
PBJ
LIT
KBWD
HYD
HDGE
GCC
FXC
FRI
FREL
FIW
FEU
FDL
FCG
FBT
FAN
EPI
EDZ
DTD
DFE
BIK
WIP
WEAT
VOE
VNQI
VIS
VCLT
SLY
SCHZ
SBIO
RWX
RDIV
PXE
PSCM
PSCD
PLTM
MLN
KWT
KRE
IDX
GML
FTSM
FLM
DRN
DGRS
CYB
CNXT
BICK
BBH
XHE
VWOB
VUG
TYBS
TDIV
SPHQ
SJNK
SCHC
QQXT
PRF
PIN
PAGG
NGE
MES
MDIV
KOL
IPW
ICN
HYEM
GEX
GASX
FXS
ENY
DXGE
DOL
DGS
DAX
BLV
VMBS
URA
TMF
SLYV
SKYY
SCHG
RYJ
RYF
RWJ
QINC
PSL
PHDG
PCEF
MINT
MDYG
LTPZ
ITM
IRY
HYND
HGI
GNR
FEUZ
EZM
EPS
EES
DXPS
DXKW
DWX
DLN
DIV
DFJ
DEM
DEF
DBB
CWB
CRBQ
CANE
BIL
AFK
VV
VTWG
VOOV
VO
VAW
TECS
TAO
RYH
ROOF
RLY
RBL
QYLD
PSCT
PSCI
PSCC
PNQI
PHB
NFO
MGK
LVL
LBJ
KIE
KBWY
IRV
IBND
GUR
FVD
FTSL
FNDE
FLRN
FKU
FCA
DXJS
DTH
DLS
DGRW
CVY
CSF
CHIX
AMZA
ADRA
YLCO
XTL
XSD
VONE
VGSH
TYO
SPYD
SOXL
SMLV
SICK
SCPB
RYE
RPV
PID
PFXF
PCY
MTK
MLPA
MGC
KBWB
JPEM
IVOO
IMOM
IBLN
HILO
GVAL
GAF
FXN
FXD
FTA
FRAK
FLTB
FHLC
FDD
EQAL
EMCB
EMAG
ELD
EGPT
EEB
DRIP
DHS
DGT
DEWJ
CHAD
CEZ
CDC
CARZ
BZF
BWZ
BSJG
ARGT
ADRU
YYY
YAO
VTWV
VOOG
VONV
UTES
USDU
TTFS
TIPZ
SPYV
SPYB
SOCL
SMB
SLYG
SILJ
SHM
SCIN
SCIF
SCHP
SCHM
SCHE
RWW
RSXJ
RETL
RCD
QVAL
QTEC
QQQC
QDYN
QDEU
PXSG
PSK
PSJ
PSCU
PSCE
PKB
PIE
PERM
PDN
PBS
OUSA
OASI
MGV
MCRO
JPNL
ITE
IPKW
IPK
INY
INXX
HFEZ
GXG
GURU
GSY
GRI
GMF
GLTR
GLDX
GII
FYT
FXZ
FXO
FWDD
FV
FTLB
FLTR
FKO
FEX
FENY
EWX
DXJR
DWM
DTN
DGRE
CZA
CU
CSD
CRDT
CLAW
CIBR
CFGE
BSCI
BIZD
ADRD
AADR
XMLV
XLG
WBIG
VYMI
VSS
VIXH
VIOV
USWD
TLO
TILT
THRK
STXX
SRET
SNLN
SDOG
SCHA
RZV
RRF
QUS
QTWN
QQQE
QJPN
PXJ
PXI
PWC
PTF
PSR
PJP
PILS
PGJ
PBW
PBP
ONEK
OEUR
OEUH
MUNI
MMTM
MINC
MIDZ
MIDU
LWC
KBWI
JSML
JPP
JHDG
IVOV
IQDE
IPO
IPN
INDL
IHDG
HYLD
HIPS
HAO
GYLD
GYEN
GXF
GUNR
GRES
FXH
FXF
FXCH
FWDI
FUTY
FTW
FTCS
FPE
FNX
FNDX
FJP
FGM
FDM
FDIV
FCOM
FCAN
EWRI
EURL
ERW
EMRE
EDIV
DZK
DWAT
DWAQ
DRW
DBS
DBE
CPI
CNPF
CFO
CEW
BSCH
BJK
ASEA
ZLRG
YPRO
XSLV
XHS
XAR
WDRW
WBII
VXF
TZI
TUZ
TUTT
TOFR
SYE
SPFF
SOYB
SMMU
SHYD
SCHX
SCHV
SCHO
SCHF
RZG
RYT
RWV
RTR
RPG
RODM
RFV
QQEW
QDF
QCAN
PZI
PWZ
PTH
PSCH
PSCF
PIO
PGHY
PFIG
PFI
PEJ
PDBC
PBE
NLR
NASH
MLPX
MLPJ
LMBS
KCE
JHMM
IVOG
IVAL
ITEQ
IST
IPS
IPF
IPAY
IHY
HYZD
HYMB
HYLS
HVPW
HOLD
HAP
HAKK
HAHA
GWX
GVT
FYC
FXSG
FXG
FTLS
FTGC
FTC
FSTA
FPX
FNDC
FNCL
FMK
FLN
FLAG
FFR
FDT
FAB
EZY
EWRS
EQLT
EMFM
ECON
DSUM
DOO
DON
DGL
DES
CROP
COPX
CHIM
CHII
CBON
ARKG
ALD
AGZD
YMLI
YDIV
XTN
XSW
XRLV
WREI
WDTI
VSPY
VIOO
VEGA
TZV
TZL
TYNS
TFI
SRLN
SPUN
SOXS
SIVR
SCTO
SCIJ
SCID
SCHR
RWO
RWL
RTM
RFG
RAVI
QXUS
QAUS
PZT
PZD
PYZ
PY
PWB
PVI
PTLC
PLND
PFM
PBD
OUNZ
MULT
MNA
LOWC
LDRI
LARE
KNOW
KLDW
KBWR
JSMD
JHML
IPU
INKM
IDLV
HSPX
HECO
GULF
GTAA
GMMB
GIVE
GEM
GARD
FXL
FPA
FONE
FNK
FNDF
FNDB
FMB
FMAT
FHK
FEP
FEM
FDIS
FCVT
EWMC
EUDV
ENFR
EMLC
EMBB
DXJF
DIVI
DBV
DBIZ
CUT
CSA
COLX
CNDA
CNCR
CIL
BSJH
BSCM
BSCL
BSCJ
BRAQ
BBRC
ARKK
AND
AGND
ACTX
WBIC
VONG
VLSM
VIOG
TUSA
TRSK
TOTS
TLTE
TECL
TDTT
SYG
STPZ
SMEZ
SMCP
SDEM
SCIX
SBEU
RYU
RWG
RGRO
RGI
QVM
QMEX
QESP
QEH
PXMV
PXH
PXF
PUW
PSP
PSI
PMR
PLW
PFEM
PEZ
NORW
NFLT
MDYV
MATL
MATH
LKOR
LGLV
LALT
KORU
KBA
ITR
IQDY
IPE
IOIL
HYS
HTUS
HREX
HKOR
HFXJ
GXC
GSJY
GSEU
GNRX
GMM
GEUR
GAA
FYX
FUT
FTSD
FTRI
FTEC
FTAG
FSZ
FPXI
FNI
FIDU
FGD
FEMS
FCOR
FBZ
FAUS
EXT
EWRE
EVX
EQL
EMCG
EFFE
EELV
EEHB
DXJC
DJD
DDBI
CQQQ
CNTR
CIZ
CHIQ
CFA
CDL
BSJL
BSJK
BSCP
BRAZ
BITE
BAB
AXJL
AUSE
AUNZ
ARKW
ALFI
XMPT
WMCR
WITE
WBID
VTEB
VLU
VIGI
UDBI
UBND
TZW
TZE
TOTL
TONS
TIPX
TDTF
TAGS
SYLD
SPXH
SPUU
SPHB
SMLL
SAGG
RWK
RORO
ROAM
RIGS
QWLD
QMOM
QEFA
QDXU
QABA
PXSV
PWV
PTEU
PSET
PRN
PPH
PICB
PDP
ONEY
ONEO
OAPH
MOTI
MBSD
LEAD
KCNY
JPIN
JPGE
JPEU
JHMS
JHMI
JHMC
JGBB
ILB
IDMO
HFXE
HAKD
GAMR
FYLD
FWDB
FVL
FNY
FNDA
FFTY
FEMB
EWRM
EUSC
EUDG
EMGF
ELKU
EDOG
EDBI
EBND
DXJT
DPK
DIVY
DEW
DEFA
CNHX
CHIE
BSJJ
BNDS
ARKQ
ANGL
AIRR
YLD
XITK
WBIE
WBIB
VTHR
VRP
VAMO
VALX
USSD
USFR
TZD
TYD
TWOK
TUTI
THHY
SST
SOIL
SBUS
RSCO
ROUS
RDVY
QMN
QLS
QLC
QGTA
QEM
PZA
PXLV
PXLG
PTNQ
PRB
PILL
PGAL
PAF
ONEV
NFRA
NANR
MBG
LVHD
LLEM
LABS
KEMP
KBWC
JHMF
ISRA
IQDF
IJNK
IDXJ
IDOG
IDHQ
HUSE
HDWX
GWL
GQRE
GMOM
GHII
GAL
FTHI
FORX
FLRT
FBND
FAD
EWEM
ETHO
EQWS
EQWL
EMSD
EMCR
EEMO
DXUS
DXJH
DWAS
DVP
DNL
DI
DFND
CWI
CRAK
CJNK
CID
BSJM
BSJI
BSJF
BSCN
BSCK
BABS
ALTY
00632R.TW
ZSML
ZPR.TO
ZLH.TO
XCEM
WDIV
WBIL
WBIH
WBIF
WBIA
VLLV
VGH.TO
VEF.TO
ULST
TZY
TLTD
SYV
SOVB
SKOR
SIPE
SHE
SCIU
RQF.TO
ROGS
RISE
QEMM
QED
QAI
PXQ
PXMG
PUI
PTMC
PTB.TO
PRME
PGHD
PAK
KROO
KBWP
JPUS
JHME
IPD
IFLY
IDHB
HUT.TO
HEX.TO
HEJ.TO
GURI
GSIE
GMTB
GLCB
GGGG
FMF
FHG.TO
